municipio_id,anio,poblacion
6238,2014,27860
6245,2014,59062
6252,2014,231337
6260,2014,331031
6266,2014,32659
6270,2014,186842
6274,2014,464939
6277,2014,9228
6280,2014,41632
6287,2014,11336
6294,2014,15050
6301,2014,18230
6308,2014,2862
6315,2014,20594
6322,2014,10788
6329,2014,15978
6336,2014,4023
6343,2014,11489
6351,2014,11423
6357,2014,637637
6364,2014,96643
6371,2014,421009
6385,2014,18451
6392,2014,32009
6399,2014,12195
6406,2014,9909
6408,2014,187174
6410,2014,173981
6412,2014,284145
6413,2014,93013
6420,2014,73580
6427,2014,1986784
6441,2014,681831
6434,2014,463251
6448,2014,10544
6455,2014,24215
6462,2014,17150
6469,2014,42248
6476,2014,17925
6483,2014,37854
6490,2014,632842
6497,2014,112263
6505,2014,19697
6511,2014,10301
6515,2014,339152
6518,2014,23019
6525,2014,59385
6532,2014,65437
6539,2014,561566
6547,2014,22207
6553,2014,6895
6560,2014,489912
6568,2014,321920
6574,2014,17609
6581,2014,94673
6588,2014,48413
6595,2014,115706
6602,2014,31094
6609,2014,40664
6616,2014,5983
6623,2014,107332
6630,2014,3791
6638,2014,332268
6644,2014,28206
6648,2014,91467
6651,2014,15576
6655,2014,10219
6658,2014,618106
6665,2014,35109
6672,2014,15656
6679,2014,16663
6686,2014,23924
6693,2014,13000
6700,2014,21346
6707,2014,33542
6721,2014,8750
6714,2014,34494
6728,2014,24240
6735,2014,24111
6742,2014,8605
6749,2014,168793
6756,2014,294215
6760,2014,289135
6763,2014,150441
6770,2014,61219
6778,2014,66856
6784,2014,10707
6791,2014,130718
6798,2014,9598
6805,2014,413442
6812,2014,1791
6819,2014,13281
6826,2014,44708
6833,2014,57533
6840,2014,343701
6847,2014,8600
6854,2014,36533
6861,2014,270139
6868,2014,34421
6875,2014,33312
6882,2014,120425
6007,2015,17356
6014,2015,12040
6021,2015,10875
6028,2015,578513
6077,2015,30326
6035,2015,351165
6042,2015,20911
6049,2015,66782
6056,2015,307250
6063,2015,44966
6070,2015,34710
6084,2015,20482
6091,2015,346658
6098,2015,93015
6105,2015,35244
6112,2015,41935
6119,2015,28828
6126,2015,100474
6134,2015,57673
6140,2015,15512
6147,2015,23078
6154,2015,11675
6161,2015,15197
6168,2015,8478
6210,2015,50907
6218,2015,38714
6224,2015,66605
6175,2015,26105
6182,2015,63124
6189,2015,15589
6196,2015,22659
6203,2015,39506
6231,2015,17629
6238,2015,28007
6245,2015,59532
6252,2015,235408
6260,2015,337890
6266,2015,33330
6270,2015,192430
6274,2015,473950
6277,2015,9300
6280,2015,42066
6287,2015,11361
6294,2015,15052
6301,2015,18414
6308,2015,2867
6315,2015,20767
6322,2015,10763
6329,2015,16226
6336,2015,4099
6343,2015,11536
6351,2015,11438
6357,2015,640855
6364,2015,98895
6371,2015,421725
6385,2015,18505
6392,2015,32232
6399,2015,12263
6406,2015,9970
6408,2015,188280
6410,2015,175177
6412,2015,288228
6413,2015,93115
6420,2015,74439
6427,2015,2037428
6441,2015,687378
6434,2015,463178
6448,2015,10606
6455,2015,24244
6462,2015,17200
6469,2015,42259
6476,2015,17986
6483,2015,38208
6490,2015,635593
6497,2015,113564
6505,2015,19883
6511,2015,10314
6515,2015,342798
