anio,municipio_id,unidades_de_servicio_nivel_inicial*,unidades_de_servicio_nivel_primario,unidades_de_servicio_nivel_secundario**,sector_de_gestión_estatal***,sector_de_gestión_privada****,matricula_sexo_femenino*****,matricula_sexo_masculino******,matricula_nivel_inicial,matricula_nivel_primario*******,matricula_nivel_secundario********
2018.0,6049.0,39.0,56.0,23.0,149.0,28.0,13107.0,11414.0,3540.0,6563.0,5209.0
2019.0,6049.0,38.0,55.0,23.0,145.0,27.0,13149.0,11748.0,3478.0,6609.0,5845.0
2020.0,6049.0,37.0,55.0,23.0,139.0,26.0,13221.0,12003.0,3357.0,6647.0,6091.0
2021.0,6049.0,37.0,55.0,23.0,142.0,26.0,13253.0,11752.0,3176.0,6689.0,6094.0
2022.0,6049.0,37.0,55.0,23.0,141.0,26.0,12588.0,11569.0,3146.0,6602.0,5947.0
2023.0,6049.0,37.0,54.0,23.0,142.0,26.0,12712.0,11696.0,2998.0,6448.0,5865.0
2011.0,6056.0,95.0,92.0,91.0,324.0,104.0,50398.0,46061.0,13184.0,27745.0,21127.0
2012.0,6056.0,98.0,95.0,87.0,329.0,104.0,50981.0,46003.0,13923.0,28321.0,21187.0
2013.0,6056.0,97.0,94.0,86.0,338.0,104.0,49891.0,46502.0,14065.0,27962.0,21209.0
2014.0,6056.0,97.0,93.0,85.0,335.0,101.0,50595.0,46523.0,14491.0,27890.0,21446.0
2015.0,6056.0,95.0,93.0,84.0,337.0,98.0,51275.0,47250.0,14555.0,27738.0,21841.0
2016.0,6056.0,95.0,93.0,80.0,333.0,99.0,51991.0,47085.0,14684.0,27895.0,21894.0
2017.0,6056.0,95.0,93.0,79.0,323.0,98.0,51175.0,47030.0,14974.0,28247.0,22181.0
2018.0,6056.0,94.0,93.0,76.0,311.0,99.0,50275.0,47218.0,15118.0,28571.0,22547.0
2019.0,6056.0,95.0,93.0,75.0,311.0,98.0,50941.0,47435.0,15055.0,28793.0,22702.0
2020.0,6056.0,97.0,95.0,76.0,307.0,104.0,51172.0,47491.0,14493.0,29305.0,23138.0
2021.0,6056.0,95.0,94.0,76.0,306.0,101.0,50905.0,46635.0,13336.0,29501.0,23771.0
2022.0,6056.0,95.0,94.0,76.0,309.0,101.0,49873.0,46845.0,13335.0,29482.0,23431.0
2023.0,6056.0,95.0,95.0,76.0,313.0,102.0,49324.0,46721.0,12865.0,29012.0,23632.0
2011.0,6063.0,29.0,43.0,19.0,105.0,15.0,7851.0,6681.0,2087.0,4392.0,3818.0
2012.0,6063.0,29.0,43.0,19.0,106.0,14.0,7722.0,6668.0,2072.0,4321.0,3815.0
2013.0,6063.0,29.0,43.0,19.0,107.0,15.0,7550.0,6670.0,2119.0,4338.0,3663.0
2014.0,6063.0,29.0,43.0,18.0,109.0,14.0,7662.0,6824.0,2126.0,4399.0,3557.0
2015.0,6063.0,32.0,43.0,19.0,112.0,15.0,7631.0,6807.0,2229.0,4289.0,3661.0
2016.0,6063.0,31.0,40.0,19.0,108.0,14.0,7742.0,6759.0,2139.0,4307.0,3586.0
2017.0,6063.0,31.0,40.0,19.0,106.0,14.0,8111.0,6727.0,2192.0,4320.0,3592.0
2018.0,6063.0,31.0,38.0,19.0,101.0,14.0,7659.0,6682.0,2290.0,4392.0,3685.0
2019.0,6063.0,31.0,38.0,19.0,105.0,13.0,8065.0,6926.0,2310.0,4496.0,3782.0
2020.0,6063.0,31.0,38.0,19.0,103.0,13.0,7740.0,6814.0,2276.0,4507.0,3780.0
2021.0,6063.0,31.0,38.0,19.0,105.0,13.0,8062.0,6787.0,2190.0,4587.0,3877.0
2022.0,6063.0,31.0,38.0,18.0,104.0,13.0,8186.0,7055.0,2155.0,4584.0,3872.0
2023.0,6063.0,31.0,38.0,18.0,104.0,13.0,8176.0,7047.0,2110.0,4527.0,3862.0
2011.0,6070.0,25.0,27.0,16.0,75.0,17.0,5939.0,5813.0,1692.0,3798.0,2528.0
2012.0,6070.0,26.0,27.0,15.0,79.0,16.0,5922.0,6041.0,1714.0,3808.0,2521.0
2013.0,6070.0,26.0,28.0,14.0,80.0,17.0,6098.0,5983.0,1787.0,3787.0,2587.0
2014.0,6070.0,26.0,28.0,14.0,81.0,17.0,6128.0,6310.0,1827.0,3733.0,2627.0
2015.0,6070.0,27.0,27.0,14.0,81.0,17.0,6558.0,6163.0,1878.0,3779.0,2730.0
2016.0,6070.0,27.0,27.0,14.0,80.0,17.0,6655.0,6379.0,1840.0,3783.0,2709.0
2017.0,6070.0,27.0,27.0,14.0,79.0,17.0,6547.0,6286.0,1894.0,3725.0,2740.0
2018.0,6070.0,28.0,27.0,14.0,81.0,17.0,6798.0,6603.0,1974.0,3803.0,2870.0
2019.0,6070.0,28.0,27.0,15.0,81.0,17.0,6837.0,6819.0,1994.0,3804.0,2926.0
2020.0,6070.0,28.0,27.0,15.0,80.0,17.0,6910.0,6625.0,1982.0,3788.0,2923.0
2021.0,6070.0,29.0,27.0,15.0,83.0,17.0,6831.0,6636.0,1858.0,3799.0,2988.0
2022.0,6070.0,29.0,27.0,15.0,83.0,17.0,6811.0,6588.0,1831.0,3767.0,2953.0
2023.0,6070.0,28.0,27.0,15.0,83.0,16.0,6724.0,6605.0,1808.0,3728.0,2955.0
2011.0,6084.0,11.0,13.0,6.0,54.0,9.0,4786.0,5004.0,1029.0,2356.0,1326.0
2012.0,6084.0,11.0,13.0,6.0,48.0,10.0,4642.0,4664.0,1085.0,2263.0,1370.0
2013.0,6084.0,11.0,13.0,6.0,51.0,10.0,4680.0,4955.0,1066.0,2229.0,1405.0
2014.0,6084.0,11.0,13.0,6.0,52.0,9.0,4507.0,4934.0,1078.0,2181.0,1407.0
2015.0,6084.0,11.0,13.0,7.0,51.0,11.0,4675.0,4808.0,1102.0,2132.0,1451.0
2016.0,6084.0,11.0,13.0,7.0,53.0,10.0,4819.0,4702.0,1068.0,2075.0,1464.0
2017.0,6084.0,11.0,13.0,6.0,49.0,9.0,4570.0,4358.0,1036.0,2088.0,1526.0
2018.0,6084.0,11.0,13.0,6.0,50.0,10.0,4397.0,4313.0,1062.0,1998.0,1585.0
