anio,municipio_id,municipio_nombre,unidades_de_servicio_nivel_inicial*,unidades_de_servicio_nivel_primario,unidades_de_servicio_nivel_secundario**,sector_de_gestión_estatal***,sector_de_gestión_privada****,matricula_sexo_femenino*****,matricula_sexo_masculino******,matricula_nivel_inicial,matricula_nivel_primario*******,matricula_nivel_secundario********
2015,06084,Benito Juárez,11,13,7,51,11,4675,4808,1102,2132,1451
2016,06084,Benito Juárez,11,13,7,53,10,4819,4702,1068,2075,1464
2017,06084,Benito Juárez,11,13,6,49,9,4570,4358,1036,2088,1526
2018,06084,Benito Juárez,11,13,6,50,10,4397,4313,1062,1998,1585
2019,06084,Benito Juárez,11,13,6,48,8,4422,4267,1080,1971,1539
2020,06084,Benito Juárez,11,13,6,46,8,4230,4241,1109,1889,1491
2021,06084,Benito Juárez,11,13,6,47,8,4222,4239,1086,1884,1432
2022,06084,Benito Juárez,11,13,6,47,8,4706,4254,1041,1863,1316
2023,06084,Benito Juárez,11,13,6,48,9,4694,4129,959,1873,1261
2011,06091,Berazategui,94,94,103,238,137,53192,51632,15724,39807,30075
2012,06091,Berazategui,96,93,102,242,137,54276,51729,16238,39577,30544
2013,06091,Berazategui,98,93,98,252,138,54337,52500,16841,39568,31134
2014,06091,Berazategui,98,93,91,245,135,54456,52434,16945,39681,31610
2015,06091,Berazategui,98,93,90,247,133,54915,53426,17263,39953,31778
2016,06091,Berazategui,100,93,90,251,134,56449,54138,17641,40304,32420
2017,06091,Berazategui,101,92,90,239,136,55333,53725,17754,40097,32484
2018,06091,Berazategui,100,92,90,234,134,59374,56294,18034,40186,33036
2019,06091,Berazategui,102,92,88,239,132,56574,55598,18085,40573,33562
2020,06091,Berazategui,99,92,88,231,130,56728,55590,17363,40824,33771
2021,06091,Berazategui,100,92,88,230,130,55843,55408,15690,40879,34773
2022,06091,Berazategui,101,92,88,238,130,56921,56246,15660,40277,34516
2023,06091,Berazategui,101,93,89,239,126,55850,54527,14870,39685,34230
2011,06098,Berisso,24,28,28,95,24,14958,14885,4151,9391,6757
2012,06098,Berisso,24,28,24,94,23,14611,14988,4088,9408,6787
2013,06098,Berisso,24,28,24,97,23,14981,15218,4172,9381,6589
2014,06098,Berisso,24,28,24,97,23,15086,15098,4273,9333,6466
2015,06098,Berisso,24,28,24,95,23,15452,15701,4384,9363,6562
2016,06098,Berisso,24,28,23,95,23,15897,15405,4489,9433,6688
2017,06098,Berisso,25,28,23,93,26,15510,15766,4430,9515,6903
2018,06098,Berisso,25,28,23,94,24,16020,15826,4546,9503,7263
2019,06098,Berisso,25,28,23,94,24,15871,16350,4510,9582,7208
2020,06098,Berisso,25,28,23,90,24,16002,16549,4406,9777,7505
2021,06098,Berisso,25,28,23,93,24,16195,16241,4129,9880,7788
2022,06098,Berisso,25,28,23,94,24,17131,17009,4081,9813,7880
2023,06098,Berisso,26,28,23,96,24,16454,16805,3960,9514,7869
2011,06105,Bolívar,31,39,12,109,9,7349,6375,1617,3133,2238
2012,06105,Bolívar,31,39,13,108,10,7290,6067,1705,3164,2295
